A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V,apelido,apelido_abreviado,atleta_id,clube_id,clube_nome,entrou_em_campo,foto,jogos_num,media_num,minimo_para_valorizar,nome,pontos_num,posicao_id,preco_num,rodada_id,slug,status_id,temporada,variacao_num
,,,,,1.0,1.0,,,1.0,,,,,,,,,,,Giovanni Augusto,G. Augusto,68938,315,CHA,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,1,1.7,,Giovanni Augusto Oliveira Cardoso,1.7,4,4.69,1,giovanni-augusto,7,2026,-0.31
,,,,,,,,,,,,,,,,,,,,Marinho,Marinho,68952,287,VIT,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,0,0.0,,Mário Sérgio Santos Costa,0.0,5,6.0,1,marinho,6,2026,0.0
,,,,,1.0,,,,,,1.0,,,,,,,,,Willian José,W. José,68996,265,BAH,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,1,9.5,,Willian José da Silva,9.5,5,13.15,1,willian-jose,7,2026,1.15
,,,5.0,,,,,,,,,,,,,,,1.0,,Santos,Santos,69012,293,CAP,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,1,11.5,,Aderbar Melo dos Santos Neto,11.5,1,10.58,1,santos,6,2026,2.58
,1.0,,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,Allan,Allan,69140,263,BOT,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,1,2.8,,Allan Marques Loureiro,2.8,4,5.89,1,allan,6,2026,-0.11
,,,,,,1.0,,,,,,,,,,,,,,Gabriel Paulista,G. Paulista,69208,264,COR,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,-0.3,,Gabriel Armando de Abreu,-0.3,3,8.08,1,gabriel-paulista,6,2026,-1.92
,,,,,,,,,,,,,,,,,,,,Danilo,Danilo,69783,262,FLA,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,0,0.0,,Danilo Luiz da Silva,0.0,3,8.0,1,danilo,6,2026,0.0
,,,,,,1.0,,,,,,,,,,,,,,Lucas Moura,L. Moura,70164,276,SAO,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,1,-0.3,,Lucas Rodrigues Moura da Silva,-0.3,4,9.71,1,lucas-moura,6,2026,-2.29
,,,,,1.0,,2.0,,,,,,,,,,,,,Eduardo Sasha,E. Sasha,70360,280,RBB,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,1,3.9,,Eduardo Colcenti Antunes,3.9,5,7.09,1,eduardo-sasha,7,2026,0.09
,,,1.0,,,,,,1.0,,,,,,,,,1.0,,Gabriel,Gabriel,70449,287,VIT,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VIT/FORMATO.png,1,6.8,,Gabriel Vasconcelos Ferreira,6.8,1,7.29,1,gabriel,7,2026,1.29
